author,count
BNRist,12
Yong Li,11
Hao Xue,7
Dieter Pfoser,5
UC Berkeley,5
Hanan Samet,5
Riverside,5
Depeng Jin,4
Egemen Tanin,4
Goce Trajcevski,4
Joon-Seok Kim,4
Andreas Zufle,4
Xin Zhang,4
Kota Tsubouchi,4
Australia,4
MISIS,4
Sidi Wu,3
Yizi Chen,3
Lorenz Hurni,3
Haomin Wen,3
Yu Liu,3
Fandel Lin,3
Yao-Yi Chiang,3
Mohamed Mokbel,3
Yiqun Xie,3
Xiaowei Jia,3
Jingtao Ding,3
Maria Despoina Siampou,3
Gengchen Mai,3
Amr Magdy,3
Hossein Amiri,3
Yanbo Pang,3
Baltimore County,3
John Krumm,3
Twin Cities,3
Dragomir Yankov,3
Chiqun Zhang,3
Soto Anno,3
Flora D. Salim,2
Huandong Wang,2
Andreas Tritsarolis,2
Nikos Pelekis,2
Yannis Theodoridis,2
Yuxuan Liang,2
Haoye Chai,2
Craig Knoblock,2
Zhihao Wang,2
Cyrus Shahabi,2
Jianzhong Qi,2
Hao Li,2
Ni Lao,2
Martin Werner,2
Renhe Jiang,2
Matthias Renz,2
Yongyi Liu,2
Yunfan Kang,2
Ahmed Mahmood,2
Kristian Torp,2
Khurram Shafique,2
Areeg Mostafa,2
Jonathan Mbuya,2
Antonios Anastasopoulos,2
Shiyang Ruan,2
Hamdi Kavak,2
Andrew Crooks,2
Carola Wenk,2
Flora Salim,2
Yoshihide Sekimoto,2
Ilya Ilyankou,2
Meihui Wang,2
Stefano Cavazzi,2
James Haworth,2
Naoki Tamura,2
Haru Terashima,2
Shin Katayama,2
Kenta Urano,2
Takuro Yonezawa,2
Nobuo Kawaguchi,2
Du Yin,2
Mahmoud Sakr,2
Liqiu Meng,2
Ruochen Kong,2
David Heslop,2
Hannah Bast,2
Patrick Brosi,2
Bin Han,2
Bill Howe,2
Arun Sharma,2
Guang Wang,2
Chenyang Yu,2
Xinpeng Xie,2
Yan Huang,2
Chenxi Qiu,2
Kuo-Han Hung,2
Nicole Schneider,2
Kent O'Sullivan,2
Saeed Nasehibasharzad,2
Farhana Choudhury,2
Qiang Gao,2
Li Huang,2
Masamichi Shimosaka,2
Dingyi Zhuang,2
Yuheng Bu,2
Shenhao Wang,2
AIRI,2
Wei Shao,2
Jeffrey Chan,2
Ruohan Li,2
Xuanshu Luo,1
Haoran Wang,1
Adam Booth,1
Chen Wei,1
Mudan Wang,1
Huan Yan,1
Konrad Schindler,1
Jingwei Zuo,1
Wenbin Li,1
Michele Baldo,1
Hakim Hacid,1
Youfang Lin,1
Yutong Xia,1
Huaiyu Wan,1
Qingsong Wen,1
Zimmermann Roger,1
Jiahui Gong,1
Tong Li,1
Xing Wang,1
Junlan Feng,1
Chao Deng,1
Yinzhou Tang,1
Xi Yang,1
Suining He,1
Mahan Tabatabaie,1
Basel Shbita,1
Binh Vu,1
Zekun Li,1
Chung Park,1
Taekyoon Choi,1
Taesan Kim,1
Junui Hong,1
Minsung Choi,1
Jaegul Choo,1
Keivin Isufaj,1
Mohamed Elshrif,1
Sofiane Abbar,1
Lei Ma,1
George Hurtt,1
Arash Hajisafi,1
Haowen Lin,1
Sina Shaham,1
Haoji Hu,1
Zuqing Li,1
Yingrong Qin,1
Chen Gao,1
Zhen Tu,1
Hongsheng Wu,1
Shuangqing Wei,1
Yue Wang,1
Lin Zhang,1
Yijun Lin,1
Giuliano Cornacchia,1
Mirco Nanni,1
Luca Pappalardo,1
Gian Alix,1
Manos Papagelis,1
Suyash Vishnoi,1
Carolina Osorio,1
Akhil Shetty,1
Iveel Tsogsuren,1
Neha Arora,1
Lohan Meunier,1
Ying Zhao,1
Alexandra Kapp,1
Helena Mihaljević,1
Jiapan Wang,1
Johann Maximilian Zollner,1
Xiaohang Xu,1
Toyotaro Suzumura,1
Jiawei Yong,1
Masatoshi Hanai,1
Chuang Yang,1
Hiroki Kanezashi,1
Yannick Wölker,1
Christian Beth,1
Arne Biastoch,1
Justin Downes,1
Sam Saltwick,1
Anthony Chen,1
Sven Gedicke,1
Martin Tomko,1
Stephan Winter,1
Jan-Henrik Haunert,1
Christophe Claramunt,1
Christine Bassem,1
Demetrios Zeinalipour-Yazti,1
Baihua Zheng,1
Zelin Xu,1
Tingsong Xiao,1
Wenchong He,1
Yu Wang,1
Zhe Jiang,1
Hussah Alrashid,1
Sergio Rey,1
Chiara Pugliese,1
Fabio Pinelli,1
Chiara Renso,1
George Papadakis,1
Nikos Mamoulis,1
Manolis Koubarakis,1
Mark Tenzer,1
Zeeshan Rasheed,1
Zhilun Zhou,1
Zhicheng Liu,1
Yitian Liao,1
Zan Sun,1
Huankang Guan,1
Danning Jiang,1
Xiwen Chen,1
Sayed Pedram Haeri Boroujeni,1
Xin Shu,1
Huayu Li,1
Abolfazl Razi,1
Ana Elena Uribe,1
Joao Daniel Silva,1
Joao Magalhaes,1
Devis Tuia,1
Bruno Martins,1
Will Kohn,1
Ali Al-Lawati,1
Elsayed Eshra,1
Prasenjit Mitra,1
Krystian Czapiga,1
Serkan Isci,1
Muhammad Affan Javed,1
Yaron Kanza,1
Velin Kounev,1
Gopal Meempat,1
Angel Daruna,1
Vasily Zadorozhnyy,1
Han-Pang Chiu,1
Lihuan Li,1
Yang Song,1
Saeid Kalantari,1
Yunli Wang,1
Sun Sun,1
Xin Wang,1
Mingfei Cai,1
Fatima Hachem,1
Venkata Sudheer Raj Siddabattula,1
Davide Vecchia,1
Gian Pietro Picco,1
Maria Luisa Damiani,1
Sibo Li,1
Yuming Lin,1
Jinliang Deng,1
Hong Kong SAR,1
Shuang Ao,1
Zechen Li,1
Arian Prabowo,1
Xuan Song,1
Maloy Kumar Devnath,1
Sudip Chakraborty,1
Vandana P. Janeja,1
Lapone Techapinyawat,1
Wenlu Wang,1
Mehrube Mehrubeoglu,1
Hua Zhang,1
Martin Bockling,1
Heiko Paulheim,1
Sarah Detzler,1
Ziyi Liu,1
Claudio Affolter,1
Katharina Henggeler,1
Rodrigo Sasse David,1
Esteban Zimanyi,1
Yu Feng,1
Puzhen Zhang,1
Jiaying Xue,1
Zhaiyu Chen,1
Wejdene Mansour,1
Rahul Sahni,1
Xiaozheng Zhang,1
Sudip Chatterjee,1
Suprio Ray,1
Sriganesh Balamurugan,1
Vaasudev Narayanan,1
Saurabh Sohoney,1
Taylor Anderson,1
Johannes Kalmbach,1
Axel Lehmann,1
Yiwei Yang,1
Anat Caspi,1
Zheng Zhang,1
Dazhou Yu,1
Yuntong Hu,1
Liang Zhao,1
Abdullah Shamail,1
Md Hasan Anowar,1
Ashfaq Khokhar,1
Sohail Murad,1
Cynthia Jameson,1
Jiaman Wu,1
Shangqing Cao,1
Giuseppe Perona,1
Marta C. Gonzalez,1
City and Regional Planning,1
Chhaya Kulkarni,1
Nikki Prive,1
Vandana Janeja,1
Shang-Ling Hsu,1
Emmanuel Tung,1
Subhankar Ghosh,1
Jayant Gupta,1
Aneesh Subramanian,1
Boulder,1
Shashi Shekhar,1
Antonios Karatzoglou,1
Oussama Dhifallah,1
Michael R. Evans,1
Florin Sabau,1
Maryam Najafabadi,1
Goran Predovic,1
Zhihan Fang,1
Guang Yang,1
Wenjun Lyu,1
Zhiqing Hong,1
Shuxin Zhong,1
Weijian Zuo,1
Yu Yang,1
Desheng Zhang,1
Addison Hanrattie,1
Kunyi Zhang,1
Yurong Zhang,1
Xiaoqian Qi,1
Li Yu,1
Zhaocheng Wang,1
Haoan Feng,1
Yunting Song,1
Leila De Floriani,1
Anirudh Sriram,1
Renzhong Wang,1
Prabin Bhandari,1
Claudius Proissl,1
Daniel Koch,1
Han Zhang,1
T. K. Satish Kumar,1
Craig A. Knoblock,1
Avik Das,1
Nicole R. Schneider,1
Nicolas Lee,1
Mohammad Reza Shahneh,1
Vishal Rohith Chinnam,1
Aparna Vivek Sarawadekar,1
Samet Oymak,1
Ibrahim Sabek,1
Zhixiang He,1
Mengzan Gong,1
Jia-Dong Zhang,1
Xiliang Liu,1
Chi-Yin Chow,1
Ning Li,1
Xiaoli Sun,1
Ioannis Kontopoulos,1
Iraklis Varlamis,1
Antonios Makris,1
Konstantinos Tserpes,1
Kevin Buchin,1
Mart Hagedoorn,1
Alexander Korn,1
Tianye Tang,1
Ali Payani,1
Shang Liu,1
Gao Cong,1
Kaiqi Zhao,1
Ren Ozeki,1
Hamada Rizk,1
Hirozumi Yamaguchi,1
Junfeng Hu,1
Xu Liu,1
Zhencheng Fan,1
Roger Zimmermann,1
Nick Murphy,1
Ziba Khani,1
Berkay Aydin,1
Zizheng Wang,1
Kunpeng Zhang,1
Xueqin Chen,1
Shuji Yamaguchi,1
Keijirou Saitou,1
Akihisa Soemori,1
Masato Morita,1
Shigeki Asou,1
Sourabh Yadav,1
Dario Tenore,1
Jinhua Zhao,1
Zhenyu Han,1
Yanxin Xi,1
Yan Luo,1
Tong Xia,1
Xuezhang Li,1
Xulin Wang,1
Pan Wang,1
Mengxi Liu,1
Hari Krishna Gadi,1
Lu Liu,1
Aske Schytt Meineche,1
Viktor Due Pedersen,1
Maria Astefanoaei,1
Xiaobai Yao,1
Jinmeng Rao,1
Qing Zhu,1
Ziyuan Li,1
Muhammad Aamir Cheema,1
Hao Wang,1
Wei Wang,1
Adel Nadjaran Toosi,1
Danil Kononykhin,1
Mikhail Mozikov,1
Kirill Mishtal,1
Dmitrii Abramov,1
Pavel Kuznetsov,1
Nazar Sotiriadi,1
Yury Maximov,1
Andrey Savchenko,1
Ilya Makarov,1
Changhao Miao,1
Yuntian Zhang,1
Tongyu Wu,1
Fang Deng,1
Chen Chen,1
Sherif Mostafa,1
Mahmoud Elsanhoury,1
Jaakko Yliaho,1
Janne Koljonen,1
Heidi Kuusniemi,1
Mohammed Elmusrati,1
Khaled A. Harras,1
Moustafa Youssef,1
Patrik Thomas Michalski,1
Niko Preu√ü,1
Heather Baier,1
Dan Runfola,1
Hongyuan Su,1
Yu Zheng,1
#1. EFECTIW-ROTER: Deep Reinforcement Learning Approach for Solving Heterogeneous Fleet and Demand Vehicle Routing Problem With Time-Window Constraints,1
Alhassan Alshareedah,1
Haley Stone,1
Jing Du,1
Matthew Scotch,1
Raina MacIntyre,1
Max Galetskiy,1
Johann Bornholdt,1
Theodoros Chondrogiannis,1
Unsupervised Urban Land Use Mapping with Street View Contrastive Clustering and a Geographical Prior,1
Francisco Garrido-Valenzuela,1
Max Lange,1
Juan C. Herrera,1
Gautam Thakur,1
Yunyao Cheng,1
Christian Jensen,1
Junhao Wu,1
Stephen Aboagye-Ntow,1
Chuyuan Wang,1
Gang Chen,1
Huy Quang Ung,1
Guillaume Habault,1
Yasutaka Nishimura,1
Hao Niu,1
Roberto Legaspi,1
Tomoki Oya,1
Ryoichi Kojima,1
Masato Taya,1
Chihiro Ono,1
Atsunori Minamikawa,1
Sheng Liu,1
Jun Ying,1
Ronilo Ragodos,1
Xun Zhou,1
Tong Wang,1
Yajun Pan,1
Zaher Al Aghbari,1
Yufan Kang,1
Jie Zhang,1
Rui Tang,1
Mark Andrejevic,1
Yujie Wu,1
Xiaolong Song,1
Bahare Salehi,1
Saugat Adhikari,1
Da Yan,1
Naman Nimbale,1
Weijin Liu,1
Xiaodong Yu,1
Akhlaque Ahmad,1
Lyuheng Yuan,1
Jiao Han,1
Sichen Zhao,1
Ziqi Xu,1
Wilson Wongso,1
Mingzhou Yang,1
Majid Farhadloo,1
Bharat Jayaprakash,1
Gaspard Merten,1
Gilles Dejaegere,1
Debvrat Varshney,1
Vibhas Vats,1
Bhartendu Pandey,1
Christa Brelsford,1
Daniele Rege Cambrin,1
Eleonora Poeta,1
Eliana Pastor,1
Isaac Corley,1
Tania Cerquitelli,1
Elena Baralis,1
Bita Azarijoo,1
Andreas Morgen,1
Patrick Grieser,1
Zhili Li,1
Qi Cheng,1
Feng Zhu,1
Mingzhi Hu,1
Yanhua Li,1
Kai Moltzen,1
Junbo Huang,1
Richard Yang,1
Sina Ehsani,1
Bhanu Pallakonda,1
Mariana M. Garcez Duarte,1
Dwi P. A. Nugroho,1
Georges Tod,1
Evert Bevernage,1
Pieter Moelans,1
Elias Saerens,1
Esteban Zimányi,1
Shurui Cao,1
Siddharth Srikanth,1
Julia Moska,1
Oleksii Furman,1
Kacper Kozaczko,1
Szymon Leszkiewicz,1
Jakub Polczyk,1
Piotr Gramacki,1
Kaito Ide,1
Dimitris Kyriakopoulos,1
Dimitris Sacharidis,1
Giorgos Giannopoulos,1
Dimitris Gunopulos,1
Alima Subedi,1
Sankalpa Pokharel,1
Christian Fries,1
Jan Kettler,1
Thorsten Paßfeld,1
Ralf Tönjes,1
Ziyi Jiang,1
Qiqi Wang,1
Xuyang Sun,1
Gillian Dobbie,1
Xiaoling Lu,1
Yalei Du,1
Yuanyuan Zhang,1
Keiko Uemura,1
Tarlan Bahadori,1
Alvin Chiu,1
Ahmed Eldawy,1
Yang Yang,1
Sophia Hou,1
Xingchen Zou,1
Jiani Huang,1
Xixuan Hao,1
Yuhao Yang,1
Yibo Yan,1
Chao Huang,1
Chao Chen,1
Zhiqiang Jiang,1
Abdul Matin,1
Shrideep Pallickara,1
Yaqoob Ansari,1
Ammar Karkour,1
Eduardo Feo Flushing,1
Yueyang Liu,1
Lance Kennedy,1
Jing Tang,1
Inhye Kong,1
Dahai Yu,1
Lin Jiang,1
Rongchao Xu,1
Xinyue Ye,1
Tolulope Ale,1
Ratnaksha Lele,1
Ziheng Liu,1
Lyuzhou Ye,1
Thanh Dat Le,1
Amir Mohammad Esmaieeli Sikaroudi,1
Alon Efrat,1
Joseph S. B. Mitchell,1
