title_word,count
sensing,20
mmwave,15
data,13
learning,11
detection,9
localization,8
iot,8
monitoring,8
edge,8
estimation,7
radar,7
systems,7
models,7
mobile,7
efficient,7
system,7
model,7
inference,7
human,6
recognition,6
communication,6
authentication,6
leibniz,6
signals,5
accurate,5
pose,5
federated,5
generative,5
against,5
dnn,5
heterogeneous,5
multi-modal,5
cots,4
activity,4
approach,4
hand,4
smart,4
sensor,4
foundation,4
embedded,4
exploiting,4
real-time,4
lora,4
single,4
user,4
perception,4
networks,4
video,4
immersive,4
speaker,4
egocentric,3
camera,3
driving,3
uwb,3
framework,3
small,3
multimodal,3
applications,3
high-resolution,3
knowledge,3
facial,3
intelligent,3
low-power,3
privacy-preserving,3
your,3
on-device,3
architecture,3
deployment,3
measurements,3
antenna,3
bmftr,3
rlp,3
dfg,3
nfdi,3
schloss,3
dagstuhl,3
center,3
informatics,3
acoustic,3
control,3
continuous,3
pressure,3
improving,3
fusing,3
adaptive,3
scalable,3
devices,3
physical,3
light,3
large,3
llm,3
cameras,3
wireless,3
passive,3
self-supervised,3
internet,3
things,3
time,3
hierarchical,3
event,3
alignment,3
language,3
reconstruction,3
dataset,3
enhanced,3
wifi,2
indoor,2
nlos,2
low,2
satellites,2
radar-based,2
continual,2
denoising,2
zero-shot,2
synthesis,2
enhancing,2
deep,2
cross-modal,2
translation,2
neural,2
machine,2
sub-terahertz,2
metamaterial,2
attack,2
fingerprint,2
practical,2
wifi-based,2
reconfigurable,2
surface,2
enabling,2
power,2
road,2
testing,2
leveraging,2
computing,2
platforms,2
latency,2
network,2
implications,2
array,2
non-intrusive,2
identification,2
earphones,2
communications,2
responsive,2
adaptation,2
environments,2
advancing,2
blood,2
online,2
lidar,2
attacks,2
autonomous,2
bp3,2
cuff-less,2
performance,2
pulse,2
wave,2
physiological,2
factors,2
synthetic,2
boosting,2
context-aware,2
reception,2
vision,2
multi-view,2
intermittent,2
ultra-low-power,2
proxy,2
visual,2
platform,2
sustainable,2
live,2
analytics,2
multiple,2
unvoiced,2
interface,2
har,2
world,2
robust,2
urban,2
environmental,2
drone,2
scheduling,2
series,2
stochastic,2
benchmark,2
tracking,2
bifrost,1
reinventing,1
dispersion,1
effect,1
head-mounted,1
ghost-probe,1
pedestrian,1
rushing,1
monocular,1
automated,1
global,1
energy-constrained,1
miniature,1
emitters,1
earth,1
orbit,1
push,1
limit,1
single-chip,1
egomotion,1
moving,1
objects,1
fov,1
riscan,1
ris-aided,1
multi-user,1
wi-fi,1
xrloc,1
realize,1
deployments,1
fedinc,1
exemplar-free,1
labeled,1
mesen,1
exploit,1
design,1
unimodal,1
few,1
labels,1
physics-informed,1
real-life,1
genesis,1
generalization,1
simulation-based,1
diffusion,1
sudokusens,1
robustness,1
xgait,1
rf-based,1
gait,1
xituxi,1
sealing,1
gaps,1
cross-technology,1
construct,1
skeleton,1
commercial,1
meta-sticker,1
stickers,1
non-invasive,1
food,1
metasight,1
metasurface,1
encoding,1
fingerfaker,1
spoofing,1
victim's,1
jawthenticate,1
microphone-free,1
speech-based,1
jaw,1
motion,1
vibrations,1
one-time,1
unauthorized,1
photography,1
modulated,1
illumination,1
ristealth,1
covert,1
physical-layer,1
intrusion,1
aquahelper,1
underwater,1
sos,1
transmission,1
swimming,1
pools,1
low-cost,1
server-level,1
centers,1
conducted,1
emi,1
metro,1
magnetic,1
markings,1
all-weather,1
roads,1
neuroradar,1
neuromorphic,1
pdassess,1
free-speech,1
parkinson's,1
disease,1
daily,1
assessment,1
masks,1
air,1
filters,1
smartphones,1
edgefm,1
open-set,1
lifelearner,1
hardware-aware,1
meta,1
miriam,1
elastic,1
kernels,1
multi-dnn,1
gpu,1
on-nas,1
search,1
memory-constrained,1
nnperf,1
demystifying,1
runtime,1
citywide,1
operation,1
analysis,1
curtainnet,1
precise,1
beamforming,1
deformable,1
fabric,1
substrate,1
asliquid,1
liquid,1
counterfeit,1
side-channel,1
aerial,1
drones,1
hum,1
adaflow,1
opportunistic,1
asynchronous,1
generalized,1
affinity,1
adashadow,1
test-time,1
non-stationary,1
ppg-based,1
perspective,1
defense,1
object-based,1
bsense,1
in-vehicle,1
child,1
vital,1
sign,1
reflectors,1
behaviors,1
speak,1
more,1
achieving,1
activities,1
collaborative,1
vehicular,1
vehicle-to-vehicle,1
combating,1
ble,1
weak,1
links,1
symbol,1
extension,1
dnn-based,1
demodulation,1
commrad,1
sensing-driven,1
millimeter-wave,1
don't,1
crosstalk,1
origami,1
structure-augmented,1
dynaspa,1
spatial,1
sparsity,1
dynamic,1
emtrig,1
adversarial,1
examples,1
triggered,1
electromagnetic,1
injection,1
effective,1
hypernetwork-based,1
weight,1
generation,1
channel-aware,1
loraphy,1
eternity,1
second,1
quick-pass,1
out-ear,1
microphones,1
polarization,1
color,1
enable,1
mimo,1
backscattering,1
f2zip,1
finetuning-free,1
compression,1
scenario-adaptive,1
fdlora,1
tackling,1
downlink-uplink,1
asymmetry,1
full-duplex,1
gateways,1
fast-inf,1
ultra-fast,1
intelligence,1
batteryless,1
fedhybrid,1
breaking,1
memory,1
wall,1
hybrid,1
tensor,1
management,1
fireloc,1
low-latency,1
wildfire,1
geolocation,1
hawk,1
nalm,1
appliance,1
hisac,1
multiband,1
immerscope,1
aggregation,1
content,1
services,1
trading,1
accuracy,1
loss,1
throughput,1
speedup,1
lta,1
control-driven,1
uav,1
bug,1
flight,1
record,1
decomposition,1
litefoot,1
ambient,1
cellular,1
litemoe,1
customizing,1
serving,1
submodel,1
tuning,1
locating,1
m3cam,1
extreme,1
super-resolution,1
optical,1
flow,1
magicstream,1
bandwidth-conserving,1
telepresence,1
semantic,1
metafl,1
virtual,1
reality,1
metalink,1
extending,1
air-to-water,1
bianisotropic,1
metasurfaces,1
metasoil,1
multi-layer,1
soil,1
moisture,1
mission,1
person,1
rgb,1
phymask,1
masking,1
paradigm,1
piebridge,1
fast,1
parameter-efficient,1
training,1
piezobud,1
piezo-aided,1
secure,1
earbud,1
processor-sharing,1
large-scale,1
rfcanvas,1
modeling,1
channel,1
priors,1
few-shot,1
riotee,1
open-source,1
hardware,1
software,1
battery-free,1
salina,1
sonar,1
wild,1
ecosystems,1
seesys,1
error,1
slam,1
starangle,1
orientation,1
beacon,1
phase,1
starlink,1
syncecho,1
echo-based,1
offset,1
time-of-flight,1
tada,1
task,1
decoupling,1
battery-less,1
disentanglement,1
high-speed,1
visible,1
digital,1
micro-mirrors,1
understanding,1
concurrent,1
transmissions,1
ultra-wideband,1
complex,1
channels,1
designing,1
llm-assisted,1
earables,1
urinespec,1
lightweight,1
near-infrared,1
spectroscopy,1
metabolite,1
urine,1
wi2dmeasure,1
object,1
size,1
measurement,1
zensetag,1
rfid,1
assisted,1
twin-tag,1
mmclip,1
mmwave-based,1
signal-text,1
self-configurable,1
sensor-based,1
integrates,1
argus,1
mesh,1
stripped-down,1
wearable,1
add-on,1
babel,1
pre-trained,1
expandable,1
modality,1
bioq,1
multi-device,1
collaboration,1
bio-cues,1
caphandauth,1
anti-spoofing,1
capacitive,1
touchscreens,1
checkmate,1
llm-powered,1
approximate,1
detecting,1
context,1
shifts,1
experience,1
early,1
exiting,1
explainable,1
edge-cloud,1
eclipse,1
research,1
hyperlocal,1
chicago,1
operator-level,1
concurrency,1
guide,1
tasks,1
cluster,1
flexifly,1
interfacing,1
empowered,1
gpiot,1
tailoring,1
program,1
development,1
geoduck,1
nanosatellite,1
constellation,1
missing,1
timestamps,1
i4c,1
i2c's,1
dynamism,1
efficiency,1
imuface,1
hygiene,1
beam,1
steering,1
combining,1
techniques,1
jumpq,1
accelerating,1
object-detection-driven,1
object-sparse,1
leakyfeeder,1
in-air,1
gesture,1
leaky,1
waves,1
lidarmarker,1
machine-friendly,1
markers,1
lightllm,1
versatile,1
predictive,1
lupe,1
integrating,1
top-down,1
execution,1
mmbind,1
unleashing,1
potential,1
distributed,1
big,1
raspberry,1
evaluation,1
matching,1
skeleton-based,1
representations,1
membership,1
imu,1
mitigating,1
in-transit,1
noise,1
vehicle,1
safety,1
molora,1
across,1
exertion,1
levels,1
capturing,1
post-exercise,1
speech,1
breathing,1
phonocardiogram,1
diarization,1
occlusion-resilient,1
ceiling,1
reflection,1
floor,1
anchor,1
installation,1
offload,1
rethinking,1
cloud,1
assistance,1
sound,1
lpwans,1
openiot-lab1,1
open,1
source,1
cost-efficient,1
fog-iot,1
testbed,1
initial,1
prototype,1
optimizing,1
cross-rule,1
vulnerability,1
reinforcement,1
learning-based,1
fuzzing,1
orbis,1
redesigning,1
neural-enhanced,1
streaming,1
viewing,1
pipe,1
6dof,1
proteus,1
leaf,1
wetness,1
cross-modality,1
transfer,1
ram-hand,1
multi-hand,1
microphone,1
environment,1
shift,1
mobile-cloud,1
collaborations,1
retrolidar,1
liquid-crystal,1
fiducial,1
marker,1
high-fidelity,1
embodied,1
robotera,1
non-contact,1
friction,1
robotic,1
grasping,1
sarlink,1
satellite,1
backscatter,1
connectivity,1
aperture,1
see-v2x,1
c-v2x,1
direct,1
application-centric,1
shade-ad,1
llm-based,1
synthesizing,1
alzheimer's,1
patients,1
securegaze,1
defending,1
gaze,1
backdoor,1
selfreplay,1
adapting,1
sensory,1
meta-task,1
replay,1
sensorqa,1
question,1
answering,1
daily-life,1
differential,1
equation,1
toctou,1
resilient,1
attestation,1
tasksense,1
translation-like,1
tasking,1
llms,1
thermohands,1
thermal,1
images,1
sensor-in-the-loop,1
agent,1
benchmarks,1
transforming,1
mental,1
health,1
care,1
agents,1
umusic,1
in-car,1
occupancy,1
delay,1
profile,1
ultra-high-frequency,1
harmony,1
orchestrate,1
landing,1
wixup,1
generic,1
augmentation,1
mmet,1
eye,1
glasses,1
